时间,转发数,评论数,点赞数,内容
04-08,28466,24931,253241,忽然发现一张童年时期与姐的合照  那天我被姐深深的戳了一下 @蔡依林 
04-07,17238,64386,131708,青春有你的同学们 看着你们一点点进步 替你们开心 你们都是我的骄傲 我们江湖再见 
04-04,1660,5450,95273,耶 
04-02,686,673,24981,向英雄致敬
03-31,3157,8044,139996,刚从厦门回来 刚落地 我犯什么事儿了我 我什么事儿也没犯啊 还有发私信问我 举报和订票是不是同一个电话的 
03-30,8556,6951,70960,谢谢厦门 好热情 大姐的爽朗笑声让我不寒而栗 下一站 大连 李荣浩的秒拍视频 
03-26,7927,11060,94144,真的搞不懂 为什么那么多人 为了阵容搭配合理 硬选自己不会的英雄 然后在阵容极度合理的情况下 连送带骂20分钟 
03-25,5479,5450,122339,晚安 亲爱的 
03-17,10636,20056,152736,我的颜粉在吗 
03-16,3268,6529,114950,首场 谢谢上海 厦门见 
03-14,1211,3109,37630,真是个懂事儿的姑娘
03-13,15661,17167,200285,这是谁干的  为什么卖那么便宜 
03-11,9611,12857,112037,你干嘛呢 
02-28,5643,12523,112755,开始营业的我 哪张好看 
02-26,10000,18012,224615,当我将近一个月没发微博  蓦然回首 我好像掉了一个粉丝  你给我回来 
02-04,9498,8808,117556,过年好 亲爱的 
02-02,5374,9374,78873,什么boy 
01-31,6422,4506,65719,感谢让我822次上榜的每一位 
01-26,7315,11894,106646,这谁 
01-23,123566,177532,133433,感谢大家对 年少有为世界巡回演唱会的支持 我个人想送两张票 给一个人 你可以带你的另一半或朋友或家人3.16来上海看我 来 转发评论中选取 
01-12,856,3533,78793,没找到 但是与我联系了 删了微博 不想给人家添麻烦 感谢各位 
01-11,20425,23458,358084,我有个朋友前段时间跟我诉苦 说现在网络环境不好 负能量太重 我告诉他 去下载一个王者荣耀 打开语音和局内文字 一个月过去 现在 我的天呐 一般人骂不过他 
01-09,10317,6205,76980,宝珠姐 达浪哥 快点来 @杨丞琳 @罗志祥 李荣浩的秒拍视频 
01-07,4992,6679,57653,你们好狠 3.16上海见  你们都第几秒买到的 
01-07,1092,1744,44809,谢谢 我年少有为的红雷哥和渤哥 //@黄渤:年少有为
01-01,7283,3836,48526,刚下飞机 练练琴 李荣浩的秒拍视频 
2018-12-31,4265,14817,100060,今年要过去 祝你们明年一切都顺利 然后现在把明年的新年愿望告诉我 
2018-12-27,2125,5337,94790,看着月光 我微微扬起嘴角 细细感受我嘴角上起的大痘 真疼 
2018-12-27,379,841,31559,兄弟去吧 让更多人听到你
2018-12-21,8607,8197,73541,想要喝酸奶 冰的那种 
2018-12-20,6653,2718,25724,我是#青春有你# 音乐导师 李荣浩 未来几个月请多关注我们的训练生 《青春有你》李荣浩喊你来上声乐课 
2018-12-17,3536,6535,74745,俩礼拜不见 都还好吧 
2018-12-03,19463,106917,150996,准备半年   年少有为世界巡回演唱会 终于要和大家见面了 今天下午公布了 2019年3月16号  首场上海梅赛德斯奔驰  后面的城市陆续 公布  有哪些城市需要我过去的 举个手 
2018-11-25,12132,6738,94866,好久不见 
2018-11-23,10104,3307,43823,第一次打歌 唱了耳朵 见了许多老朋友 学生 其中有一个都长大了 那天我感觉犹如回到家 《中国音乐公告牌》【纯享】李荣浩《耳朵》 
2018-11-18,1579,1725,45031,毋庸置疑
2018-11-12,2372,2736,32182,对不起 我又来替我朋友宣传了 杰哥的舞蹈看着真得劲儿
2018-11-07,1882,3405,32854,嘉尔 帅的
2018-11-05,1611,967,18019,谢谢韩导//@韩寒:很高兴为李荣浩的新歌写了词。“我为什么会这样念念又不忘，你用什么牌的箭刺穿我心脏”。//@李荣浩:谢谢老萧在百忙之中担任我这支mv的女主角@钟楚曦
2018-11-05,9893,1345,17312,谢谢老萧在百忙之中担任我这支mv的女主角@钟楚曦
2018-11-04,10337,4483,49122,我的英文老师告诉我 当我在外国吃完饭买完单以后别人找完我零钱 我最好说一句破费客特 然后为了深刻的散发我的人格魅力 我要把客特两个字轻点读 然后特这个字最好不要发出来 若有若无 会给人一种英文流利的错觉  我跟着读了一下 破费  破费 破费 我的天呐 英文果然博大精深 全是有联系的呀 都连上了 我 ...全文
